FFQ	11	0	0	2	0	0	0	0	0	0	0	0	0	351720	0	0	0	0	0	0	0	0	0	371125	0	0	0	0	677617	0	0	0	0	1542459	0	0	0	0	5239426	0	0	0	50732349	0
FFQ	12	0	0	28	0	0	0	0	0	0	0	0	0	332935	0	0	0	0	0	0	0	0	0	360974	0	0	0	0	671542	0	0	0	0	1500236	0	0	0	0	5139303	0	0	0	50909680	0
FFQ	13	0	0	1	0	0	0	0	0	0	0	0	0	350258	0	0	0	0	0	0	0	0	0	371798	0	0	0	0	693485	0	0	0	0	1495208	0	0	0	0	5170347	0	0	0	50833601	0
FFQ	14	0	0	21	0	0	0	0	0	0	0	0	0	433681	0	0	0	0	0	0	0	0	0	383606	0	0	0	0	710868	0	0	0	0	1545830	0	0	0	0	5237228	0	0	0	50603464	0
FFQ	15	0	0	37	0	0	0	0	0	0	0	0	0	364290	0	0	0	0	0	0	0	0	0	387535	0	0	0	0	719313	0	0	0	0	1576256	0	0	0	0	5355645	0	0	0	50511622	0
FFQ	16	0	0	1	0	0	0	0	0	0	0	0	0	357291	0	0	0	0	0	0	0	0	0	386803	0	0	0	0	727651	0	0	0	0	1529173	0	0	0	0	5326838	0	0	0	50586941	0
FFQ	17	0	0	41	0	0	0	0	0	0	0	0	0	357668	0	0	0	0	0	0	0	0	0	388620	0	0	0	0	739176	0	0	0	0	1505205	0	0	0	0	5289974	0	0	0	50634014	0
FFQ	18	0	0	15	0	0	0	0	0	0	0	0	0	369940	0	0	0	0	0	0	0	0	0	398132	0	0	0	0	766149	0	0	0	0	1502830	0	0	0	0	5320061	0	0	0	50557571	0
FFQ	19	0	0	81	0	0	0	0	0	0	0	0	0	375858	0	0	0	0	0	0	0	0	0	406841	0	0	0	0	796138	0	0	0	0	1489401	0	0	0	0	5348874	0	0	0	50497505	0
FFQ	20	0	0	9	0	0	0	0	0	0	0	0	0	393762	0	0	0	0	0	0	0	0	0	423161	0	0	0	0	825968	0	0	0	0	1508555	0	0	0	0	5438904	0	0	0	50324339	0
FFQ	21	0	0	1	0	0	0	0	0	0	0	0	0	382699	0	0	0	0	0	0	0	0	0	423037	0	0	0	0	837619	0	0	0	0	1485248	0	0	0	0	5436423	0	0	0	50349671	0
FFQ	22	0	0	17	0	0	0	0	0	0	0	0	0	388658	0	0	0	0	0	0	0	0	0	426796	0	0	0	0	853341	0	0	0	0	1489030	0	0	0	0	5474642	0	0	0	50282214	0
FFQ	23	0	0	40	0	0	0	0	0	0	0	0	0	410885	0	0	0	0	0	0	0	0	0	448323	0	0	0	0	908596	0	0	0	0	1490546	0	0	0	0	5574966	0	0	0	50081342	0
FFQ	24	0	0	204	0	0	0	0	0	0	0	0	0	433714	0	0	0	0	0	0	0	0	0	457916	0	0	0	0	937124	0	0	0	0	1466852	0	0	0	0	5578937	0	0	0	50039951	0
FFQ	25	0	0	221	0	0	0	0	0	0	0	0	0	439505	0	0	0	0	0	0	0	0	0	473542	0	0	0	0	975979	0	0	0	0	1495217	0	0	0	0	5695463	0	0	0	49834771	0
FFQ	26	0	0	78	0	0	0	0	0	0	0	0	0	494970	0	0	0	0	0	0	0	0	0	468637	0	0	0	0	962822	0	0	0	0	1480342	0	0	0	0	5669518	0	0	0	49838331	0
FFQ	27	0	0	19	0	0	0	0	0	0	0	0	0	522856	0	0	0	0	0	0	0	0	0	483573	0	0	0	0	979599	0	0	0	0	1495598	0	0	0	0	5705523	0	0	0	49727530	0
FFQ	28	0	0	41	0	0	0	0	0	0	0	0	0	517089	0	0	0	0	0	0	0	0	0	494916	0	0	0	0	1003471	0	0	0	0	1518995	0	0	0	0	5798084	0	0	0	49582102	0
FFQ	29	0	0	582	0	0	0	0	0	0	0	0	0	527298	0	0	0	0	0	0	0	0	0	495763	0	0	0	0	1000076	0	0	0	0	1517478	0	0	0	0	5797556	0	0	0	49575945	0
FFQ	30	0	0	33	0	0	0	0	0	0	0	0	0	535106	0	0	0	0	0	0	0	0	0	508188	0	0	0	0	1026101	0	0	0	0	1548816	0	0	0	0	5869932	0	0	0	49426522	0
FFQ	31	0	0	86	0	0	0	0	0	0	0	0	0	522741	0	0	0	0	0	0	0	0	0	500306	0	0	0	0	1011243	0	0	0	0	1534999	0	0	0	0	5845615	0	0	0	49499708	0
FFQ	32	0	0	203	0	0	0	0	0	0	0	0	0	569549	0	0	0	0	0	0	0	0	0	524411	0	0	0	0	1048901	0	0	0	0	1585443	0	0	0	0	5970459	0	0	0	49215732	0
FFQ	33	0	0	0	0	0	0	0	0	0	0	0	0	550352	0	0	0	0	0	0	0	0	0	521636	0	0	0	0	1046825	0	0	0	0	1578613	0	0	0	0	5983107	0	0	0	49234165	0
FFQ	34	0	0	13	0	0	0	0	0	0	0	0	0	546496	0	0	0	0	0	0	0	0	0	520707	0	0	0	0	1045230	0	0	0	0	1581278	0	0	0	0	5990593	0	0	0	49230381	0
FFQ	35	0	0	3	0	0	0	0	0	0	0	0	0	575365	0	0	0	0	0	0	0	0	0	538002	0	0	0	0	1073666	0	0	0	0	1616106	0	0	0	0	6075414	0	0	0	49036142	0
FFQ	36	0	0	21	0	0	0	0	0	0	0	0	0	573453	0	0	0	0	0	0	0	0	0	537766	0	0	0	0	1074447	0	0	0	0	1616738	0	0	0	0	6088997	0	0	0	49023276	0
FFQ	37	0	0	32	0	0	0	0	0	0	0	0	0	623747	0	0	0	0	0	0	0	0	0	561607	0	0	0	0	1109706	0	0	0	0	1654499	0	0	0	0	6178584	0	0	0	48786523	0
FFQ	38	0	0	168	0	0	0	0	0	0	0	0	0	610462	0	0	0	0	0	0	0	0	0	569251	0	0	0	0	1124249	0	0	0	0	1668937	0	0	0	0	6233341	0	0	0	48708290	0
FFQ	39	0	0	19	0	0	0	0	0	0	0	0	0	612022	0	0	0	0	0	0	0	0	0	573506	0	0	0	0	1128442	0	0	0	0	1679786	0	0	0	0	6263638	0	0	0	48657285	0
FFQ	40	0	0	30	0	0	0	0	0	0	0	0	0	625173	0	0	0	0	0	0	0	0	0	596160	0	0	0	0	1156995	0	0	0	0	1708326	0	0	0	0	6352539	0	0	0	48475475	0
FFQ	41	0	0	0	0	0	0	0	0	0	0	0	0	612333	0	0	0	0	0	0	0	0	0	588767	0	0	0	0	1140472	0	0	0	0	1693718	0	0	0	0	6297028	0	0	0	48492467	0
FFQ	42	0	0	0	0	0	0	0	0	0	0	0	0	636494	0	0	0	0	0	0	0	0	0	605202	0	0	0	0	1168332	0	0	0	0	1726512	0	0	0	0	6388543	0	0	0	48207874	0
FFQ	43	0	0	1	0	0	0	0	0	0	0	0	0	654100	0	0	0	0	0	0	0	0	0	611139	0	0	0	0	1180223	0	0	0	0	1739594	0	0	0	0	6436539	0	0	0	48019593	0
FFQ	44	0	0	0	0	0	0	0	0	0	0	0	0	635123	0	0	0	0	0	0	0	0	0	608326	0	0	0	0	1175410	0	0	0	0	1734234	0	0	0	0	6451034	0	0	0	47947036	0
FFQ	45	0	0	5	0	0	0	0	0	0	0	0	0	726391	0	0	0	0	0	0	0	0	0	635462	0	0	0	0	1205998	0	0	0	0	1759261	0	0	0	0	6504485	0	0	0	47626758	0
FFQ	46	0	0	48	0	0	0	0	0	0	0	0	0	655193	0	0	0	0	0	0	0	0	0	627748	0	0	0	0	1210075	0	0	0	0	1759422	0	0	0	0	6536007	0	0	0	47578839	0
FFQ	47	0	0	4	0	0	0	0	0	0	0	0	0	643701	0	0	0	0	0	0	0	0	0	617706	0	0	0	0	1196182	0	0	0	0	1761335	0	0	0	0	6551727	0	0	0	47506986	0
FFQ	48	0	0	180	0	0	0	0	0	0	0	0	0	659115	0	0	0	0	0	0	0	0	0	624016	0	0	0	0	1203462	0	0	0	0	1779314	0	0	0	0	6583883	0	0	0	47336826	0
FFQ	49	0	0	2	0	0	0	0	0	0	0	0	0	655138	0	0	0	0	0	0	0	0	0	623918	0	0	0	0	1203199	0	0	0	0	1781348	0	0	0	0	6594396	0	0	0	47237955	0
FFQ	50	0	0	5	0	0	0	0	0	0	0	0	0	662262	0	0	0	0	0	0	0	0	0	630570	0	0	0	0	1212538	0	0	0	0	1796506	0	0	0	0	6628716	0	0	0	47073255	0
FFQ	51	0	0	182	0	0	0	0	0	0	0	0	0	674921	0	0	0	0	0	0	0	0	0	635103	0	0	0	0	1222227	0	0	0	0	1810884	0	0	0	0	6664693	0	0	0	46903609	0
FFQ	52	0	0	19	0	0	0	0	0	0	0	0	0	667316	0	0	0	0	0	0	0	0	0	634972	0	0	0	0	1224587	0	0	0	0	1821598	0	0	0	0	6678659	0	0	0	46793170	0
FFQ	53	0	0	19	0	0	0	0	0	0	0	0	0	666502	0	0	0	0	0	0	0	0	0	635145	0	0	0	0	1228007	0	0	0	0	1820419	0	0	0	0	6668889	0	0	0	46709419	0
FFQ	54	0	0	127	0	0	0	0	0	0	0	0	0	678182	0	0	0	0	0	0	0	0	0	640511	0	0	0	0	1237744	0	0	0	0	1827869	0	0	0	0	6704125	0	0	0	46547191	0
FFQ	55	0	0	2	0	0	0	0	0	0	0	0	0	671075	0	0	0	0	0	0	0	0	0	639775	0	0	0	0	1238726	0	0	0	0	1826718	0	0	0	0	6704969	0	0	0	46462207	0
FFQ	56	0	0	64	0	0	0	0	0	0	0	0	0	679094	0	0	0	0	0	0	0	0	0	648075	0	0	0	0	1252072	0	0	0	0	1836525	0	0	0	0	6745400	0	0	0	46287547	0
FFQ	57	0	0	85	0	0	0	0	0	0	0	0	0	692716	0	0	0	0	0	0	0	0	0	651268	0	0	0	0	1262744	0	0	0	0	1849885	0	0	0	0	6789284	0	0	0	46107822	0
FFQ	58	0	0	2	0	0	0	0	0	0	0	0	0	693016	0	0	0	0	0	0	0	0	0	657782	0	0	0	0	1273966	0	0	0	0	1858734	0	0	0	0	6836004	0	0	0	45938780	0
FFQ	59	0	0	15	0	0	0	0	0	0	0	0	0	716789	0	0	0	0	0	0	0	0	0	671372	0	0	0	0	1291434	0	0	0	0	1885483	0	0	0	0	6879674	0	0	0	45715866	0
FFQ	60	0	0	7	0	0	0	0	0	0	0	0	0	848948	0	0	0	0	0	0	0	0	0	707588	0	0	0	0	1325459	0	0	0	0	1907477	0	0	0	0	6900790	0	0	0	45369830	0
FFQ	61	0	0	139	0	0	0	0	0	0	0	0	0	695631	0	0	0	0	0	0	0	0	0	689932	0	0	0	0	1333289	0	0	0	0	1934077	0	0	0	0	6931287	0	0	0	45378739	0
FFQ	62	0	0	1380	0	0	0	0	0	0	0	0	0	700583	0	0	0	0	0	0	0	0	0	671999	0	0	0	0	1300892	0	0	0	0	1977353	0	0	0	0	6880026	0	0	0	45331187	0
FFQ	63	0	0	1	0	0	0	0	0	0	0	0	0	724749	0	0	0	0	0	0	0	0	0	681565	0	0	0	0	1311550	0	0	0	0	2020292	0	0	0	0	6864828	0	0	0	45157753	0
FFQ	64	0	0	22	0	0	0	0	0	0	0	0	0	727131	0	0	0	0	0	0	0	0	0	689804	0	0	0	0	1326846	0	0	0	0	2090529	0	0	0	0	6838142	0	0	0	44983698	0
FFQ	65	0	0	65	0	0	0	0	0	0	0	0	0	735794	0	0	0	0	0	0	0	0	0	693620	0	0	0	0	1336485	0	0	0	0	2115552	0	0	0	0	6857117	0	0	0	44812462	0
FFQ	66	0	0	783	0	0	0	0	0	0	0	0	0	793906	0	0	0	0	0	0	0	0	0	713588	0	0	0	0	1356088	0	0	0	0	2149675	0	0	0	0	6913241	0	0	0	44516196	0
FFQ	67	0	0	1	0	0	0	0	0	0	0	0	0	752135	0	0	0	0	0	0	0	0	0	715667	0	0	0	0	1371890	0	0	0	0	2216222	0	0	0	0	6929798	0	0	0	44350537	0
FFQ	68	0	0	39	0	0	0	0	0	0	0	0	0	755887	0	0	0	0	0	0	0	0	0	713450	0	0	0	0	1365571	0	0	0	0	2242291	0	0	0	0	6913977	0	0	0	44236843	0
FFQ	69	0	0	1	0	0	0	0	0	0	0	0	0	756820	0	0	0	0	0	0	0	0	0	715486	0	0	0	0	1367945	0	0	0	0	2257700	0	0	0	0	6910695	0	0	0	44108357	0
FFQ	70	0	0	1	0	0	0	0	0	0	0	0	0	761517	0	0	0	0	0	0	0	0	0	718156	0	0	0	0	1373663	0	0	0	0	2263837	0	0	0	0	6919710	0	0	0	43968397	0
FFQ	71	0	0	8	0	0	0	0	0	0	0	0	0	770369	0	0	0	0	0	0	0	0	0	720885	0	0	0	0	1377807	0	0	0	0	2273240	0	0	0	0	6935099	0	0	0	43816590	0
FFQ	72	0	0	0	0	0	0	0	0	0	0	0	0	806843	0	0	0	0	0	0	0	0	0	735097	0	0	0	0	1391388	0	0	0	0	2296084	0	0	0	0	6978042	0	0	0	43574632	0
FFQ	73	0	0	1	0	0	0	0	0	0	0	0	0	774889	0	0	0	0	0	0	0	0	0	739628	0	0	0	0	1405730	0	0	0	0	2310789	0	0	0	0	7022860	0	0	0	43408471	0
FFQ	74	0	0	11	0	0	0	0	0	0	0	0	0	764894	0	0	0	0	0	0	0	0	0	738103	0	0	0	0	1400819	0	0	0	0	2328527	0	0	0	0	7028783	0	0	0	43282372	0
FFQ	75	0	0	8	0	0	0	0	0	0	0	0	0	780535	0	0	0	0	0	0	0	0	0	770959	0	0	0	0	1450834	0	0	0	0	2494125	0	0	0	0	7226357	0	0	0	42709362	0
FFQ	76	0	0	16	0	0	0	0	0	0	0	0	0	685190	0	0	0	0	0	0	0	0	0	1095732	0	0	0	0	1900701	0	0	0	0	5106282	0	0	0	0	12242272	0	0	0	34312976	0
FFQ	77	0	0	17	0	0	0	0	0	0	0	0	0	643630	0	0	0	0	0	0	0	0	0	736527	0	0	0	0	1429200	0	0	0	0	3331716	0	0	0	0	8791976	0	0	0	40322647	0
FFQ	78	0	0	111	0	0	0	0	0	0	0	0	0	607067	0	0	0	0	0	0	0	0	0	628508	0	0	0	0	1235031	0	0	0	0	2563999	0	0	0	0	7211136	0	0	0	42929451	0
FFQ	79	0	0	7	0	0	0	0	0	0	0	0	0	556689	0	0	0	0	0	0	0	0	0	588590	0	0	0	0	1157682	0	0	0	0	2267674	0	0	0	0	6500406	0	0	0	44027087	0
FFQ	80	0	0	80	0	0	0	0	0	0	0	0	0	539582	0	0	0	0	0	0	0	0	0	561627	0	0	0	0	1101557	0	0	0	0	2126309	0	0	0	0	6138761	0	0	0	44554180	0
FFQ	81	0	0	0	0	0	0	0	0	0	0	0	0	523954	0	0	0	0	0	0	0	0	0	546776	0	0	0	0	1066947	0	0	0	0	2051131	0	0	0	0	5928078	0	0	0	44830999	0
FFQ	82	0	0	44	0	0	0	0	0	0	0	0	0	524759	0	0	0	0	0	0	0	0	0	545291	0	0	0	0	1065284	0	0	0	0	2027637	0	0	0	0	5863904	0	0	0	44845672	0
FFQ	83	0	0	73	0	0	0	0	0	0	0	0	0	527920	0	0	0	0	0	0	0	0	0	550443	0	0	0	0	1068728	0	0	0	0	2028472	0	0	0	0	5862307	0	0	0	44757534	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	534585	0	0	0	0	0	0	0	0	0	555879	0	0	0	0	1073861	0	0	0	0	2033873	0	0	0	0	5876853	0	0	0	44641402	0
FFQ	85	0	0	0	0	0	0	0	0	0	0	0	0	557585	0	0	0	0	0	0	0	0	0	566665	0	0	0	0	1081950	0	0	0	0	2047560	0	0	0	0	5891214	0	0	0	44489016	0
FFQ	86	0	0	0	0	0	0	0	0	0	0	0	0	552876	0	0	0	0	0	0	0	0	0	586882	0	0	0	0	1093498	0	0	0	0	2078851	0	0	0	0	5951433	0	0	0	44285887	0
FFQ	87	0	0	4	0	0	0	0	0	0	0	0	0	545687	0	0	0	0	0	0	0	0	0	594245	0	0	0	0	1065448	0	0	0	0	2071464	0	0	0	0	5952044	0	0	0	44233727	0
FFQ	88	0	0	27	0	0	0	0	0	0	0	0	0	556363	0	0	0	0	0	0	0	0	0	612602	0	0	0	0	1066754	0	0	0	0	2078733	0	0	0	0	5991453	0	0	0	44067457	0
FFQ	89	0	0	3	0	0	0	0	0	0	0	0	0	576086	0	0	0	0	0	0	0	0	0	633406	0	0	0	0	1068598	0	0	0	0	2104480	0	0	0	0	6035416	0	0	0	43863269	0
FFQ	90	0	0	13	0	0	0	0	0	0	0	0	0	575314	0	0	0	0	0	0	0	0	0	657427	0	0	0	0	1070043	0	0	0	0	2123020	0	0	0	0	6073635	0	0	0	43688204	0
FFQ	91	0	0	7	0	0	0	0	0	0	0	0	0	566711	0	0	0	0	0	0	0	0	0	661237	0	0	0	0	1055684	0	0	0	0	2126045	0	0	0	0	6104633	0	0	0	43579069	0
FFQ	92	0	0	0	0	0	0	0	0	0	0	0	0	577702	0	0	0	0	0	0	0	0	0	670671	0	0	0	0	1060813	0	0	0	0	2139364	0	0	0	0	6137001	0	0	0	43410144	0
FFQ	93	0	0	0	0	0	0	0	0	0	0	0	0	584712	0	0	0	0	0	0	0	0	0	684302	0	0	0	0	1060542	0	0	0	0	2153882	0	0	0	0	6175422	0	0	0	43236938	0
FFQ	94	0	0	2	0	0	0	0	0	0	0	0	0	592346	0	0	0	0	0	0	0	0	0	695631	0	0	0	0	1072307	0	0	0	0	2172950	0	0	0	0	6215899	0	0	0	43044382	0
FFQ	95	0	0	15	0	0	0	0	0	0	0	0	0	606852	0	0	0	0	0	0	0	0	0	714953	0	0	0	0	1088184	0	0	0	0	2207535	0	0	0	0	6282721	0	0	0	42788094	0
FFQ	96	0	0	3	0	0	0	0	0	0	0	0	0	600663	0	0	0	0	0	0	0	0	0	711258	0	0	0	0	1077866	0	0	0	0	2201198	0	0	0	0	6283143	0	0	0	42708453	0
FFQ	97	0	0	0	0	0	0	0	0	0	0	0	0	617067	0	0	0	0	0	0	0	0	0	725645	0	0	0	0	1097903	0	0	0	0	2233906	0	0	0	0	6337810	0	0	0	42461023	0
FFQ	98	0	0	0	0	0	0	0	0	0	0	0	0	627197	0	0	0	0	0	0	0	0	0	731681	0	0	0	0	1099613	0	0	0	0	2243584	0	0	0	0	6351907	0	0	0	42308479	0
FFQ	99	0	0	5	0	0	0	0	0	0	0	0	0	616292	0	0	0	0	0	0	0	0	0	735411	0	0	0	0	1103532	0	0	0	0	2246048	0	0	0	0	6363264	0	0	0	42185736	0
FFQ	100	0	0	10	0	0	0	0	0	0	0	0	0	632234	0	0	0	0	0	0	0	0	0	741750	0	0	0	0	1114033	0	0	0	0	2272134	0	0	0	0	6411181	0	0	0	41962014	0
FFQ	101	0	0	47	0	0	0	0	0	0	0	0	0	630646	0	0	0	0	0	0	0	0	0	747526	0	0	0	0	1120411	0	0	0	0	2283499	0	0	0	0	6447206	0	0	0	41786446	0
FFQ	102	0	0	203	0	0	0	0	0	0	0	0	0	647717	0	0	0	0	0	0	0	0	0	754984	0	0	0	0	1136864	0	0	0	0	2301012	0	0	0	0	6483343	0	0	0	41568993	0
FFQ	103	0	0	0	0	0	0	0	0	0	0	0	0	651915	0	0	0	0	0	0	0	0	0	762993	0	0	0	0	1142634	0	0	0	0	2322489	0	0	0	0	6518145	0	0	0	41370528	0
FFQ	104	0	0	12	0	0	0	0	0	0	0	0	0	662072	0	0	0	0	0	0	0	0	0	773057	0	0	0	0	1155900	0	0	0	0	2348097	0	0	0	0	6563919	0	0	0	41138507	0
FFQ	105	0	0	0	0	0	0	0	0	0	0	0	0	690202	0	0	0	0	0	0	0	0	0	788101	0	0	0	0	1165622	0	0	0	0	2359059	0	0	0	0	6587102	0	0	0	40919834	0
FFQ	106	0	0	3	0	0	0	0	0	0	0	0	0	660647	0	0	0	0	0	0	0	0	0	786075	0	0	0	0	1167074	0	0	0	0	2359314	0	0	0	0	6585011	0	0	0	40820725	0
FFQ	107	0	0	69	0	0	0	0	0	0	0	0	0	673042	0	0	0	0	0	0	0	0	0	791188	0	0	0	0	1174373	0	0	0	0	2385264	0	0	0	0	6634220	0	0	0	40584764	0
FFQ	108	0	0	11	0	0	0	0	0	0	0	0	0	685640	0	0	0	0	0	0	0	0	0	796232	0	0	0	0	1184739	0	0	0	0	2399703	0	0	0	0	6679559	0	0	0	40357510	0
FFQ	109	0	0	7	0	0	0	0	0	0	0	0	0	722578	0	0	0	0	0	0	0	0	0	824112	0	0	0	0	1203243	0	0	0	0	2431514	0	0	0	0	6722080	0	0	0	40055702	0
FFQ	110	0	0	2	0	0	0	0	0	0	0	0	0	735949	0	0	0	0	0	0	0	0	0	841573	0	0	0	0	1218578	0	0	0	0	2468062	0	0	0	0	6767295	0	0	0	39781348	0
FFQ	111	0	0	1	0	0	0	0	0	0	0	0	0	713805	0	0	0	0	0	0	0	0	0	841516	0	0	0	0	1233385	0	0	0	0	2500505	0	0	0	0	6823354	0	0	0	39551117	0
FFQ	112	0	0	22	0	0	0	0	0	1	0	0	0	700486	0	0	0	0	0	0	0	0	0	824135	0	0	0	0	1217017	0	0	0	0	2510980	0	0	0	0	6807240	0	0	0	39452350	0
FFQ	113	0	0	60	0	0	0	0	0	0	0	0	0	730379	0	0	0	0	0	0	0	0	0	843477	0	0	0	0	1244951	0	0	0	0	2549988	0	0	0	0	6849373	0	0	0	39136742	0
FFQ	114	0	0	54	0	0	0	0	0	4	0	0	0	733205	0	0	0	0	0	0	0	0	0	848319	0	0	0	0	1246129	0	0	0	0	2569221	0	0	0	0	6882557	0	0	0	38915812	0
FFQ	115	0	0	62	0	0	0	0	0	7	0	0	0	751929	0	0	0	0	0	0	0	0	0	865021	0	0	0	0	1266933	0	0	0	0	2613438	0	0	0	0	6917091	0	0	0	38616150	0
FFQ	116	0	0	15	0	0	0	0	0	241	0	0	0	756507	0	0	0	0	0	0	0	0	0	862063	0	0	0	0	1255388	0	0	0	0	2620784	0	0	0	0	6876295	0	0	0	38491717	0
FFQ	117	0	0	0	0	0	0	0	0	160	0	0	0	739837	0	0	0	0	0	0	0	0	0	869814	0	0	0	0	1268970	0	0	0	0	2646235	0	0	0	0	6869857	0	0	0	38298487	0
FFQ	118	0	0	12	0	0	0	0	0	90	0	0	0	755873	0	0	0	0	0	0	0	0	0	873545	0	0	0	0	1281939	0	0	0	0	2675824	0	0	0	0	6937890	0	0	0	37993619	0
FFQ	119	0	0	147	0	0	0	0	0	9	0	0	0	763172	0	0	0	0	0	0	0	0	0	885215	0	0	0	0	1298811	0	0	0	0	2708491	0	0	0	0	6957973	0	0	0	37725659	0
FFQ	120	0	0	2	0	0	0	0	0	136	0	0	0	781313	0	0	0	0	0	0	0	0	0	891254	0	0	0	0	1308024	0	0	0	0	2719611	0	0	0	0	6955956	0	0	0	37498879	0
FFQ	121	0	0	38	0	0	0	0	0	168	0	0	0	792270	0	0	0	0	0	0	0	0	0	906652	0	0	0	0	1326558	0	0	0	0	2734942	0	0	0	0	6982727	0	0	0	37222924	0
FFQ	122	0	0	69	0	0	0	0	0	284	0	0	0	792999	0	0	0	0	0	0	0	0	0	915707	0	0	0	0	1343423	0	0	0	0	2769112	0	0	0	0	7036676	0	0	0	36916404	0
FFQ	123	0	0	5	0	0	0	0	0	237	0	0	0	807560	0	0	0	0	0	0	0	0	0	924858	0	0	0	0	1358919	0	0	0	0	2794682	0	0	0	0	7107304	0	0	0	36584199	0
FFQ	124	0	0	18	0	0	0	0	0	397	0	0	0	798330	0	0	0	0	0	0	0	0	0	918935	0	0	0	0	1360009	0	0	0	0	2789122	0	0	0	0	7096740	0	0	0	36414691	0
FFQ	125	0	0	1	0	0	0	0	0	580	0	0	0	817899	0	0	0	0	0	0	0	0	0	932386	0	0	0	0	1373375	0	0	0	0	2806180	0	0	0	0	7142644	0	0	0	36097747	0
FFQ	126	0	0	0	0	0	0	0	0	729	0	0	0	812513	0	0	0	0	0	0	0	0	0	935838	0	0	0	0	1381934	0	0	0	0	2810941	0	0	0	0	7161441	0	0	0	35857077	0
